relative_path,kind,shape,zooms,dtype,min,p01,mean,p99,max,error
imagesTr_batch1/BreastDivider_00002_0000.nii.gz,image,448x448x120,0.625x0.625x1.1,uint16,0.0,1.0,30.219450949325044,138.0,421.0,
imagesTr_batch1/BreastDivider_00003_0000.nii.gz,image,512x512x116,0.7813x0.7813x2,int16,-51.0,0.0,73.68645934400887,448.0,1178.0,
imagesTr_batch1/BreastDivider_00004_0000.nii.gz,image,512x512x116,0.625x0.625x2,int16,-101.0,-101.0,73.48453498708791,496.0,1275.0,
imagesTr_batch1/BreastDivider_00005_0000.nii.gz,image,512x512x192,0.6836x0.6836x1.1,int16,0.0,0.0,222.23445004224777,1721.0,3063.0,
imagesTr_batch1/BreastDivider_00006_0000.nii.gz,image,512x512x116,0.6641x0.6641x1.98618,float32,-37.0,-0.007521811872720718,57.098934173583984,442.99713134765625,1225.0,
imagesTr_batch1/BreastDivider_00007_0000.nii.gz,image,512x512x116,0.6641x0.6641x2,int16,-72.0,0.0,55.32596683502197,549.0,2153.0,
imagesTr_batch1/BreastDivider_00008_0000.nii.gz,image,512x512x68,0.625x0.625x3,int16,0.0,0.0,79.08166963913861,644.0,1170.0,
imagesTr_batch1/BreastDivider_00009_0000.nii.gz,image,512x512x176,0.7031x0.7031x1.1,int16,0.0,0.0,261.34293658083135,2524.570000000298,7362.0,
imagesTr_batch1/BreastDivider_00010_0000.nii.gz,image,480x160x480,0.691824x1x0.691824,uint16,0.0,0.0,7.010401340060764,67.0,312.0,
labelsTr_batch1/BreastDivider_00001.nii.gz,left_right_mask,384x384x206,0.833333x0.833333x1.00976,uint8,0.0,0.0,0.1458181239254652,2.0,2.0,
labelsTr_batch1/BreastDivider_00002.nii.gz,left_right_mask,448x448x120,0.625x0.625x1.1,uint8,0.0,0.0,0.12975746206685798,2.0,2.0,
labelsTr_batch1/BreastDivider_00003.nii.gz,left_right_mask,512x512x116,0.7813x0.7813x2,uint8,0.0,0.0,0.1883281839304957,2.0,2.0,
labelsTr_batch1/BreastDivider_00004.nii.gz,left_right_mask,512x512x116,0.625x0.625x2,uint8,0.0,0.0,0.061056498823494745,2.0,2.0,
labelsTr_batch1/BreastDivider_00005.nii.gz,left_right_mask,512x512x192,0.6836x0.6836x1.1,uint8,0.0,0.0,0.11375850439071655,2.0,2.0,
labelsTr_batch1/BreastDivider_00006.nii.gz,left_right_mask,512x512x116,0.6641x0.6641x1.98618,uint8,0.0,0.0,0.17322369279532596,2.0,2.0,
labelsTr_batch1/BreastDivider_00007.nii.gz,left_right_mask,512x512x116,0.6641x0.6641x2,uint8,0.0,0.0,0.07061833348767511,2.0,2.0,
labelsTr_batch1/BreastDivider_00008.nii.gz,left_right_mask,512x512x68,0.625x0.625x3,uint8,0.0,0.0,0.11802897733800552,2.0,2.0,
labelsTr_batch1/BreastDivider_00009.nii.gz,left_right_mask,512x512x176,0.7031x0.7031x1.1,uint8,0.0,0.0,0.12908963723616165,2.0,2.0,
labelsTr_batch1/BreastDivider_00010.nii.gz,left_right_mask,480x160x480,0.691824x1x0.691824,uint8,0.0,0.0,0.2760856391059028,2.0,2.0,
